Chateau / Entreprise,Website,Email,Confidence,Source,Notes
Domaine des Monts Luisants,https://domainedesmontsluisants.fr/,contact@domainedesmontsluisants.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Charlopin-Parizot,http://www.domaine-charlopin-parizot.com/,contact@domaine-charlopin-parizot.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Dujardin,https://www.domaine-dujardin.com/,contact@domaine-dujardin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Clos des Lambrays,https://www.lambrays.com/contact/,clos@lambrays.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Comte Georges de Vogüé,https://www.corneyandbarrow.com/domaine-comte-georges-de-vogue?srsltid=AfmBOooaxd1-qEmrL3iGASMw32T1sq1ROEgw1JguYmHIsLaihnXTy7h3,contact@corneyandbarrow.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Ghislaine Barthod,https://www.caves-carriere.fr/1626-barthod-ghislaine?srsltid=AfmBOoopq_poD8oyg44wv9gNXobbUBmWn4kQ0nuD2XYUZGSE0ui93oXB,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jacques-Frédéric Mugnier,https://mugnier.fr/,info@mugnier.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Amiot-Servelle,https://www.amiot-servelle.com/,domaine@amiot-servelle.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Anne et Hervé Sigaut,https://dbwineselection.com/wine_producer/domaine-anne-et-herve-sigaut/,contact@dbwineselection.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Hudelot-Noëllat,http://mobile.domaine-hudelot-noellat.com/,contact@domaine-hudelot-noellat.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Georges Roumier,https://www.roumier.com/fr_FR/,contact@vinium.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Christophe Roumier,https://www.roumier.com/fr_FR/,contact@vinium.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Bertheau,https://www.domainedebertheauville.fr/fr/contact,contact@domainedebertheauville.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Christian Clerget,https://www.domaine-christianclerget.fr/fr/nos-vins/,domainechristianclerget@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Digioia-Royer,https://domaine-digioia-royer.fr/,micheldigioia@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Joseph Drouhin,https://www.drouhin.com/fr_FR/presentation/au-coeur-du-domaine,maisondrouhin@drouhin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Laurent Roumier,https://www.roumier.com/fr_FR/mentions-legales,contact@vinium.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Méo-Camuzet,https://www.meo-camuzet.com/fr/contacts,information@meo-camuzet.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Mugneret-Gibourg,https://www.mugneret-gibourg.com/fr/vins,dgm@mugneret-gibourg.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Robert Groffier,https://www.vistavin.fr/fr/74_groffier-robert,contact@vistavin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine d’Eugénie,https://ledomainedegenia.fr/contact,ledomainedegenia@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Château de la Tour,https://www.lechateaudelatour.fr/fr/contact/,contact@lechateaudelatour.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine René Engel,https://www.caves-carriere.fr/1971-engel-rene?srsltid=AfmBOor0Evowaq52JWyGfWhctizgEQpZqKfsnF8kJkTwNivAjeOs3hHL,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Anne Gros,https://www.anne-gros.com/,domaine-annegros@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Gros Frère et Sœur,https://www.gros-frere-et-soeur.com/fr_FR/,contact@g-f-s.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Jean Grivot,https://www.caves-carriere.fr/1494-grivot-jean?srsltid=AfmBOopR7ugoMAjOuTch58XW6aoiblx0fjZUMivdZ4HVLji6SyBUcacG,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Louis Jadot,https://shop.louisjadot.com/produit/bourgogne-couvent-des-jacobins-2023/,maisonlouisjadot@louisjadot.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Mongeard-Mugneret,https://mongeard.com/fr/,contact@mongeard.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Thibault Liger-Belair,https://m.thibaultligerbelair.com/28PSHZSBKB?l=fr,contact@thibaultligerbelair.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Vougeraie,https://www.domainedelavougeraie.com/fr/contact.r-695/,vougeraie@domainedelavougeraie.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Romanée-Conti,https://www.romanee-conti.fr/,contact@romanee-conti.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Emmanuel Rouget,https://dnswines.com/producers/domaine-emmanuel-rouget/,info@dnswines.com,HIGH,snippet,Email domain matches website domain
Domaine Georges Noëllat,https://www.caves-carriere.fr/1698-noellat-georges?srsltid=AfmBOoq68SIOV0Y4XlzClK61mRHguntBPohV7p1th5VnhAW0Kj-mh68X,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Sylvain Cathiard,https://www.grauonline.fr/caves/domaine-sylvain-cathiard--fils.html,info@grauonline.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Michel Gros,https://chamberswines.com/The-International-Chambers-of-the-Paris-Courts-A-Flexible-and-Efficient-Approach-to-Resolve-International-Commercial-Disputes-04-05-2019/producer/domaine-michel-gros,Not Found,NOT_FOUND,,
Domaine François Lamarche,https://www.vistavin.fr/fr/87_lamarche-francois,contact@vistavin.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine A.F. Gros,http://www.af-gros.com/,contact@af-gros.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Robert Arnoux,https://www.robertarnoux.com/contact/13-0,contact@robertarnoux.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Jean-Marc Millot,https://jean-marc-millot.com/,contact@jean-marc-millot.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Henri Gouges,https://www.gouges.com/,contact@gouges.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de l’Arlot,"https://www.vins-bourgogne.fr/nos-savoir-faire/femmes-et-hommes-passionnes/contactez-le-vigneron/domaine-de-l-arlot,2834,11202.html?&amp;args=Y29tcF9pZD0yMDQ4JmFjdGlvbj12aWV3Rm9ybUNvbnRhY3QmaWQ9JmlkPVZJTkJPVTAwMDAyMDAwMTl8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Chevillon-Chezeaux,http://chevillon-chezeaux.com/,chevillon.chezeaux@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Robert Chevillon,https://www.domainerobertchevillon.fr/,detb@domainerobertchevillon.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Montille,https://www.demontille.com/en_US/,contact@demontille.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Patrice Rion,https://www.patricerion.com/,contact@patricerion.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Jean-Jacques Confuron,https://www.caves-carriere.fr/1703-confuron-jean-jacques?srsltid=AfmBOoqJUyO_yac4tsiXFMq8xsq1xTwLXE1TJDU4eRnsJzOw_kdSq1sg,boutique@caves-carriere.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Chicotot,http://www.domaine-chicotot.com/,chicotot@aol.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Tollot-Beaut,"https://www.vins-bourgogne.fr/vignerons-savoir-faire/femmes-et-hommes-passionnes/tollot-beaut-et-fils-chorey-les-beaune-21200,2397,9211.html?&args=Y29tcF9pZD0xNDA2JmFjdGlvbj12aWV3RmljaGUmaWQ9VklOQk9VMDAwMDIwMTA4MyZ8",contact@vins-bourgogne.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Chantal Lescure,https://www.domainelescure.fr/,contact@domainelescure.fr,HIGH,snippet,Email domain matches website domain
Domaine de l'Hortus,https://www.domaine-hortus.fr/,contact@domaine-hortus.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Lascaux,https://lascaux.fr/fr/,contact@lascaux.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Mas Bruguière,https://mas-bruguiere.com/,xavier.bruguiere@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château La Roque,https://www.chateau-laroque.fr/,contact@chateau-laroque.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Clavel,https://www.vins-clavel.fr/en/,info@vins-clavel.fr,HIGH,snippet,Email domain matches website domain
Domaine de Mortiès,https://morties.com/?srsltid=AfmBOoqKaFVglSE6g_Hl2DJMeQrR6n5G-Rhf9bAtHxFhXN5urc3Yx07L,contact@morties.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Cazeneuve,https://www.chateaudecazeneuve.com/fr/contact.html,contact@chateaudecazeneuve.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Mas de la Séranne,https://mas-seranne.com/,contact@mas-seranne.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Saint Daumary,https://espace-vin.com/domaine/domaine-saint-daumary/,info@espace-vin.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Clos Marie,https://www.closmarie.com/contact,contact@closmarie.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de l'Aiguelière,https://aigueliere.fr/,contact@aigueliere.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château Puech-Haut,https://puech-haut.com/,contact@puech-haut.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Haut-Lirou,https://www.grandpicsaintloup-tourisme.fr/producteurs/domaine-haut-lirou,contact@grandpicsaintloup-tourisme.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Mas Gourdou,https://masgourdou.com/,contact@masgourdou.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Montferrand,https://chateaudemontferrand.fr/,grandpicsaintloup@ccgpsl.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Les Grandes Costes,https://www.grandes-costes.com/fr/,contact@grandes-costes.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Foulaquier,https://boutique.masfoulaquier.fr/pages/mention-legales?srsltid=AfmBOoqmWRDQvb9JezGSRYKvnU3jPjfeKo3QyhgYtXgUGCvA-s2mc-zb,masfoulaquier@me.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Saint André de Figuière,https://www.vin-bio-ardoneo.com/291-domaine-saint-andre-de-figuiere,contact@ardoneo.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Mas d'Agalis,https://www.vinsnaturels.fr/003_viticulteurs/Languedoc-Mas-d-Agalis-Lionel-Morel-1092.html,contact@vinsnaturels.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine des Conquêtes,https://www.domainedesconquetes.fr/content/6-domaine-viticole-aniane,contact@domainedesconquetes.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Mas des Chimères,https://masdeschimeres.com/,contact@masdeschimeres.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Saumarez,https://www.domainedesaumarez.com/en/welcome/,desaumarez@yahoo.fr,LOW,snippet,"From Google snippet, could be third party"
Domaine de l'Oustal Blanc,https://loustalblanc.com/,contact@loustalblanc.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Fons Sanatis,Not Found,Not Found,NOT_FOUND,,
Domaine du Mas de Rey,https://www.vignerons-independants.com/annuaire-des-vignerons-independants-de-france/domaine-du-mas-de-rey,info@vigneron-independant.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine de Cassagnau,https://www.twil.fr/france/languedoc-roussillon/domaine-de-cassagnau.html?srsltid=AfmBOormMWCVeQMPnUaiGf-1gtlMLkBQA04h5r5l66LyWgGLj21F6OJG,contact@twil.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine des Carabiniers,https://nibuniconnu.fr/le-domaine-des-carabiniers/,contact@nibuniconnu.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Mas d'Agamas,https://www.saintguilhem-valleeherault.fr/annuaire/domaine-mas-d-agamas,contact@saintguilhem-valleeherault.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Mas de la Plaine Haute,https://plaine-haute.com/vin-bio/les-vins-bio-du-mas-de-la-plaine-haute/,contact@plaine-haute.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château La Devèze,https://www.masdeladeveze.fr/mas-deveze-acces/,contact@masdeladeveze.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine des Terres Dorées,https://www.terres-dorees.com/conditions-generales-de-vente,info@terres-dorees.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Ruet,https://www.ruet-beaujolais.fr/,contact@ruet-beaujolais.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Nervers,https://chateaudenervers.fr/fr/,contact@chateaudenervers.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Dubost,https://www.domainedubost.com/vins/,contact@domainedubost.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château de Pierreux,https://www.chateaudepierreux.com/fr/notre-gamme-de-vins.r-285/,contact@chateaudepierreux.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine des Combiers,https://www.domainedescombiers.fr/,savoyelaurent@gmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Gérard Brisson,http://www.gerard-brisson.com/,contact@gerard-brisson.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Plaigne,https://www.domainedelaplaigne.com/en/,contact@domainedelaplaigne.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Bel-Air,https://domainedebelair.fr/,contact@domainedebelair.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Baron de l'Ecluse,https://barondelecluse.com/,baron.delecluse2@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Saint-Cyr,https://www.beaujolais-saintcyr.com/,email@beaujolais-saintcyr.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Bulliat,https://www.bulliat-eric.fr/,eric.bulliat@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine de Colette,https://www.domainedecolette.com/,contact@domainedecolette.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Nicolas Boudeau,https://www.nicolas-boudeau.com/domaine.php,contact@nicolas-boudeau.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Voûte des Crozes,https://kermitlynch.com/files/DOMAINE%20DE%20LA%20VOUTE%20DES%20CROZES.pdf,contact@kermitlynch.com,REJECTED,constructed,Blocked domain/prefix: contact@kermitlynch.com
Domaine de Roche Guillon,http://www.maisonducrufleurie.fr/domainederocheguillon.html,roche-guillon.coperet@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Cheysson,https://domainecheysson.com/,domainecheysson@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Château de la Terrière,https://www.loron.fr/domaine/chateau-de-la-terriere/,maisonjeanloron@loron.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine les Roches Bleue,Not Found,contact@domainelesrochesbleues.com,LOW,snippet,"From Google snippet, could be third party"
Domaine des Frères Perroud,https://www.freres-perroud.com/,contact@freres-perroud.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Paul Janin et Fils,https://www.cavissima.com/collections/beaujolais-domaine-paul-janin-et-fils,contact@cavissima.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de La Poyebade,https://lentrepot-cissac-medoc.fr/product/domaine-de-la-poyebade-2023-brouilly-13/,sebastien.coularis@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Coperet,https://domainegillescoperet.com/,contact@domainegillescoperet.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine du Vissoux,https://pashandglou.com/products/pierre-marie-chermette-domaine-du-vissoux-les-griottes-nouveau-beaujolais-2024,delivery@pashandglou.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Briante,https://domainedebriante.fr/,contact@domainedebriante.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Crêt des Garanches,https://cretdesgaranches.fr/,contact@cretdesgaranches.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Jean-Marc Burgaud,https://jean-marc-burgaud.com/,contact@jean-marc-burgaud.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Combe au Loup,https://www.luxeuil-vosges-sud.fr/sit/domaine-de-la-combe-au-loup,contact@luxeuil-vosges-sud.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine des Pins,https://www.vins-domainedespins.fr/en,jdesonis@domainedespins.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine de la Grand'Cour,https://domainedelagrandcour.fr/,contact@familledutraive.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Champier,https://www.lyon-entreprises.com/entreprise/domaine-champier-denis/presentation-odenas,contact@lyon-entreprises.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine La Bastide Blanche,https://www.labastideblanche-grimaud.com/contact,Not Found,NOT_FOUND,,
Château Pradeaux ,https://www.chateau-pradeaux.com/index.php/chateau-pradeaux-bandol-rose-2023/,secretariat@chateaupradeaux.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Ott,https://ott.at/fr/,bernhard@ott.at,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Gros'Noré,https://www.gros-nore.com/index-en.htm,domaine@gros-nore.com,HIGH,snippet,Email domain matches website domain
Domaine de la Bégude,https://domainedelabegude.fr/,contact@domainedelabegude.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Ray-Jane,https://www.ray-jane.fr/,contact@ray-jane.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Bunan - Moulin des Costes,https://www.vignapart.com/fr/bandol/287-domaines-bunan-moulin-des-costes-blanc.html,contact@vignapart.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Château Vannières,https://www.chateauvannieres.com/,info@vannieres.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine de la Tour du Bon,https://boutique.tourdubon.com/,contact@tourdubon.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Souviou,https://www.domainesouviou.com/boutique/,contact@souviou.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château Sainte Anne,https://www.chateausainteanne.fr/,yves.patricia.chazal@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine de Frégate,https://www.domainedefregate.com/,accueil@domainedefregate.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine La Suffrène,https://domaine-la-suffrene.com/accueil/,commercial@suffrene.fr,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Lafran-Veyrolles,https://www.lafran-veyrolles.com/,contact@lafran-veyrolles.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Dupuy de Lôme,https://dupuydelome.com/,contact@dupuydelome.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Garenne,https://www.domainedelagarenne.net/,contact@domainedelagarenne.net,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Font des Pères,https://shop.lafontdesperes.com/fr/,contact@lafontdesperes.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de Cagueloup,https://www.cagueloup.fr/,contact@cagueloup.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de l'Olivette,https://domainedelolivette.fr/contact/,lolivette@domainedelolivette.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Le Galantin,https://le-galantin.com/,contact@lesvinographes.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Château de la Noblesse,https://www.chateaudelanoblesse.com/,contact@bastideducastellas.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Saint Louis,https://chateausaintlouis.fr/vin-fronton/vin-rouge-bio-esprit-2018/,contact@chateausaintlouis.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine des Baguiers,http://www.domainedesbaguiers.com/v2014/15-la-boutique,sales@yourcompany.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Maubernard,https://maubernard.com/,info@maubernard.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de L'Estagnol,https://www.domainedelestagnol.com/,contact@domainedelestagnol.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Les Luquettes,https://les-luquettes.com/,contact@les-luquettes.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Vivonne,https://www.vivonne.fr/nous-contacter,contact@vivonne.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Baratonne,https://www.winalist.fr/hosts/3243/domaine-de-la-baratonne?srsltid=AfmBOoqJzJ6ws95F7gbdGJLpPgO6_2S-NntW_NwNy6szmVtShXClJ_rV,contact@winalist.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Sainte Marie des Crozes,https://saintemariedescrozes.com/,d.alias11@orange.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine de la Roche Buissière,http://www.larochebuissiere.fr/page_domaine.html,rochebuissiere@free.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine du Clos Naudin – Foreau,https://divineloire.fr/vigneron/clos-naudin-foreau/,contact@divineloire.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine François et Julien Pinon,https://www.vinsdevouvray.com/domaine-francois-et-julien-pinon/,contact@vinsdevouvray.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Vincent Carême,https://vincentcareme.fr/,Not Found,NOT_FOUND,,
Domaine Le Capitaine,http://www.domainelecapitaine.com/,contact@domainelecapitaine.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Marc Brédif,https://www.winetourism.com/winery/domaine-marc-bredif/,contact@winetourism.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine du Viking,https://www.domaineduviking.fr/vente-vins-blancs-vouvray.php,contact@domaineduviking.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Rouletière,https://www.twil.fr/france/vallee-de-la-loire/domaine-de-la-rouletiere-jean-marc-gilet.html?srsltid=AfmBOople8OjCGaD9NY1TLKhZgxgOBnrO7ElTkH2aYRTQ1BZYtHeZ61-,contact@twil.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Croix des Vainqueurs,https://thewinefeed.com/products/domaine-de-la-croix-des-vainqueurs-le-bouchet-vouvray-sparkling?srsltid=AfmBOooVI9fMAe-u_-WvekhvBUF9Z4G183neQObSNro1K8sggO0n7JQ0,contact@thewinefeed.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Grand Taille,https://divineloire.fr/vigneron/domaine-de-la-grand-taille/,contact@divineloire.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Allias,https://www.domaineallias.com/,domaine-allias@outlook.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Christophe Gaudron,https://christophegaudron-vouvray.fr/fines-bulles/20-cuvee-prestige.html,contact@christophegaudron-vouvray.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine des Bergeons,https://domainedesbergeons.fr/,contact@domainedesbergeons.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine des Cormiers Roux,https://www.vouvraygaucher.fr/,contact@vouvraygaucher.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine Freslier,http://www.domainefreslier.com/tarif/tarif-site-internet-2018.pdf,contact@domainefreslier.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Maison Darragon,https://www.maisondarragon.com/,contact@maisondarragon.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Maison Peltier,https://maisonpeltier.fr/le-domaine/,contact@maisonpeltier.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine Morvan,https://www.domaine-morvan.com/domaine,morvan.vinsdevouvray@hotmail.com,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine Pierre Champion,https://www.pierre-champion-vouvray.fr/,contact@pierre-champion-vouvray.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Vigneau-Chevreau,https://www.vigneau-chevreau.com/,contact@vigneau-chevreau.com,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Yvon et Pascal Tabordet,https://www.vinello.fr/domaine-tabordet,contact@vinello.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine de la Fontainerie,https://www.linarawines.com/wines/category/Domaine+de+La+Fontainerie,lindsey@linarawines.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Poultière,http://www.cavusvinifera.com/fr/221931-Domaine-de-la-Poulti%C3%A8re-Sec-Authentique-Vouvray-blanc,info@cavusvinifera.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Roche Moreau,https://www.larochemoreau.com/,davy.larochemoreau@wanadoo.fr,MEDIUM,scraped_mailto,Found on official site but uses generic email provider
Domaine de la Tuffière,https://www.vinsdeloire.fr/fr/domaine-tuffiere,contact@vinsdeloire.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Vallée Coquette,Not Found,Not Found,NOT_FOUND,,
Domaine de la Vinçonnière,https://www.vinsdeloire.fr/fr/domaine-vinconniere,contact@vinsdeloire.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine de la Voûte,https://kermitlynch.com/files/DOMAINE%20DE%20LA%20VOUTE%20DES%20CROZES.pdf,contact@kermitlynch.com,REJECTED,constructed,Blocked domain/prefix: contact@kermitlynch.com
Domaine de l'Épinay,https://www.domainedelepinay.com/,menestreau-epinay@wanadoo.fr,LOW,snippet,"From Google snippet, could be third party"
Domaine de l'Hermitage,https://www.twil.fr/france/provence/domaine-de-l-hermitage.html?srsltid=AfmBOoo1j2n1MTVBMTdqq0eOwO2v-SAGOmGOvUGj0EQrqqs96rmehGpF,contact@twil.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Philippe Brisebarre,https://brisebarre.fr/,vignoble@brisebarre.fr,HIGH,scraped_mailto,"Email domain matches website, found on official site"
Domaine des Aubuisières,https://www.domaine-des-aubuisieres.com/,info@famillelebrumare.com,MEDIUM,scraped_mailto,"Found on official site, different domain"
Domaine du Margalleau,https://domaine-du-margalleau.fr/,contact@domaine-du-margalleau.fr,MEDIUM,constructed,"Constructed email, domain has MX records"
Domaine Pichot,https://domaine-pichot.com/,contact@domaine-pichot.com,HIGH,scraped_mailto,"Email domain matches website, found on official site"
